Repository,Branch,In-Scope(YES),LBU,POC,Remarks
pru-ei/pss-eta-github_governance,feature/GTDE-145-new,No ,PSS,,
pru-ei/pss-eta-github_governance,feature/GTDE-145,No ,PSS,,
pru-ei/pss-eta-github_governance,main,No ,PSS,,
pru-ei/ei-xgg-eib-back-office,master,YES,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB61330_20250122,,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB69154_20241104,,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB_70785_20241224,,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB_72141_20241223,,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB-59289,,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB-61330_20241115,,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB-67822_2,,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB-69422_20241204,,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB-70785_20250102,,EIB,Cheah Kar Joon,
pru-ei/ei-xgg-eib-back-office,release/EIMB-72425_20241227,,EIB,Cheah Kar Joon,
pru-ei/ei-hyh-cart-bbd,master,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-cart-core,master,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-azure_img_goldensource,feature/EISST-257,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-azure_img_goldensource,master,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-cart-poms,master,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-db_datawarehouse_img-delete,feature/EISST-65-the-pdbs-are-created-on-the-prod-oracle-cdb-in-azure-enterprise,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-db_datawarehouse_img-delete,master,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-docker_img_ansible,master,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-docker_img_bamboo_agent,master,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-docker_img_eastspring_base,master,No,EISG IT ,Raja Ramalingam ,
pru-ei/ei-hyh-docker_img_cart,master,No,EISG IT ,Raja Ramalingam ,
