Repository,Branch,In-Scope(YES)
pru-gtpt/flutterflow-test,GTPPS-182/codespaces,
pru-gtpt/flutterflow-test,GTPPS-197/test-fe-build,
pru-gtpt/flutterflow-test,GTPPS-221/devops,
pru-gtpt/flutterflow-test,GTPPS-230/e2e-workflow,
pru-gtpt/flutterflow-test,GTPTSYM-261/add-dind-build,
pru-gtpt/flutterflow-test,feature/GTP-281-refinement,
pru-gtpt/flutterflow-test,flutterflow,
pru-gtpt/flutterflow-test,main,yes
pru-gtpt/codacy-int-test,main,yes
pru-gtpt/ff-pay-poc,main,yes
pru-gtpt/devexp-pov,dependabot/maven/com.github.ekryd.echo-maven-plugin-echo-maven-plugin-2.1.0,
pru-gtpt/devexp-pov,dependabot/maven/junit-junit-4.13.2,
pru-gtpt/devexp-pov,dependabot/maven/maven-security-group-4411b65e23,
pru-gtpt/devexp-pov,dependabot/maven/org.apache.maven.plugins-maven-checkstyle-plugin-3.6.0,
pru-gtpt/devexp-pov,dependabot/maven/org.sonarsource.java-sonar-jacoco-listeners-5.14.0.18788,
pru-gtpt/devexp-pov,dependabot/maven/org.xerial-sqlite-jdbc-3.49.1.0,
pru-gtpt/devexp-pov,main,yes
pru-gtpt/terragoat,dependabot/maven/packages/maven-security-group-c5ac156f9b,
pru-gtpt/terragoat,dependabot/npm_and_yarn/packages/node/base/es5-ext-0.10.64,
pru-gtpt/terragoat,dependabot/npm_and_yarn/packages/node/base/npm_and_yarn-a1c7b5953e,
pru-gtpt/terragoat,dependabot/npm_and_yarn/packages/node/base/npm_and_yarn-security-group-9e6b514cd1,
pru-gtpt/terragoat,dependabot/npm_and_yarn/packages/node/base/npm_and_yarn-security-group-66feb46120,
pru-gtpt/terragoat,dependabot/pip/packages/pip-a5a9fe9175,
pru-gtpt/terragoat,main,yes
pru-gtpt/domain-policy-service-gateway-process-api,develop,yes
pru-gtpt/domain-policy-service-gateway-process-api,main,yes
pru-gtpt/web-PruServices-deprecated,GTPPS-246-codecov,
pru-gtpt/web-PruServices-deprecated,chore/GTPPS-48-add-build-and-push-workflow,
pru-gtpt/web-PruServices-deprecated,feat/policy-details-overview-GTPPS-6,
pru-gtpt/web-PruServices-deprecated,main,yes
pru-gtpt/mvp-fe-deploy-demo,GTP-288/jira-aquasec,
pru-gtpt/mvp-fe-deploy-demo,GTP-351/nexus-scan,
pru-gtpt/mvp-fe-deploy-demo,GTPPS-197/dev-runners,
pru-gtpt/mvp-fe-deploy-demo,GTPPS-252/aquasec-int,
pru-gtpt/mvp-fe-deploy-demo,deploy/GTP-6011,
pru-gtpt/mvp-fe-deploy-demo,develop,yes
pru-gtpt/mvp-fe-deploy-demo,docker-build-gha,
pru-gtpt/mvp-fe-deploy-demo,install-jq-docker,
pru-gtpt/mvp-fe-deploy-demo,kaniko_test,
pru-gtpt/mvp-fe-deploy-demo,main,yes
pru-gtpt/mvp-fe-deploy-demo,release/GTP-163-RT002-PACS-PS-main,
pru-gtpt/mvp-fe-deploy-demo,release/int-release-2025-01-21,
pru-gtpt/mvp-fe-deploy-demo,test-actions,yes
pru-gtpt/mvp-be-deploy-demo,develop,yes
pru-gtpt/mvp-be-deploy-demo,main,yes
pru-gtpt/mvp-be-deploy-demo,no-rule-branch,
pru-gtpt/istio-domain-service-strategy-poc-with-dapr,main,yes
pru-gtpt/domain-apis,GTP-4237-Redirect-Premium-Submit,
pru-gtpt/domain-apis,GTP-7576-PLUK-Policies-Holdings-Withdrawl,
pru-gtpt/domain-apis,GTP-10068-add-examples,
pru-gtpt/domain-apis,bala/multiport-stub,
pru-gtpt/domain-apis,feature/GTP-2231-pva-clients-by-id,
pru-gtpt/domain-apis,feature/GTP-2231-pva-get-documents,
pru-gtpt/domain-apis,feature/GTP-2231-rename-document-examples,
pru-gtpt/domain-apis,feature/GTP-7692,
pru-gtpt/domain-apis,feature/GTP-8226-add-api-get-allocations,
pru-gtpt/domain-apis,feature/GTP-8562-pamb-get-client-by-id,
pru-gtpt/domain-apis,feature/GTP-9851-claim-tracker-api,
pru-gtpt/domain-apis,feature/GTP-9851-claim-tracker-summary-activity,
pru-gtpt/domain-apis,feature/GTP-9929-claim-submission-api-part-1,
pru-gtpt/domain-apis,feature/GTP-9929-claim-submission-document-checklist,
pru-gtpt/domain-apis,feature/GTP-9929-pacs-banks-examples,
pru-gtpt/domain-apis,feature/GTP-10352-fund-documents-model,
pru-gtpt/domain-apis,feature/GTP-10396-comms-onboarding,
pru-gtpt/domain-apis,feature/GTP-10943-engagement-api-update,
pru-gtpt/domain-apis,feature/GTP-11546-PVA-adding-fund-switch,
pru-gtpt/domain-apis,feature/GTP-11554-PVA-adding-api-premium-redirection,
pru-gtpt/domain-apis,feature/GTP-11742-BE-PaymentSearchV2-API-Design,
pru-gtpt/domain-apis,feature/GTP-12268-add-transaction-ref-date,
pru-gtpt/domain-apis,feature/examples-cleanup,
pru-gtpt/domain-apis,feature/gpt_4389_payoutmethod_spec,
pru-gtpt/domain-apis,feature/gpt_4389_payoutmethods_apis,
pru-gtpt/domain-apis,feature/gtp_popular_services,
pru-gtpt/domain-apis,feature/gtp_6489_withdraw_charges,
pru-gtpt/domain-apis,feature/gtp_7261_transaction_download_spec,
pru-gtpt/domain-apis,feature/gtp_7436_accounts_trntypes,
pru-gtpt/domain-apis,feature/gtp_7538_partial_withdrawal_pluk_examples,
pru-gtpt/domain-apis,feature/gtp_7666_coe_dcoument_examples,
pru-gtpt/domain-apis,feature/gtp_7666_coe_document_examples,
pru-gtpt/domain-apis,feature/gtp_8719_fix,
pru-gtpt/domain-apis,feature/pacs-popular-services,
pru-gtpt/domain-apis,feature/pacs-refactoring,
pru-gtpt/domain-apis,feature/pamb_v1_6Mar2025,
pru-gtpt/domain-apis,feature/plai-day2-event-enum,
pru-gtpt/domain-apis,fredy/feature/GTP-7571-investment-banks,
pru-gtpt/domain-apis,jack/GTP-8299-CR-add-enum-values-to-claim-event-type,
pru-gtpt/domain-apis,jack/feature/GTP-9743-i18n-for-updatePayoutMethod,
pru-gtpt/domain-apis,main,yes
