Repository,Branch,In-Scope(YES)
pru-pacs/pss-eta-github_governance,feature/GTDE-145-new,
pru-pacs/pss-eta-github_governance,feature/GTDE-145,
pru-pacs/pss-eta-github_governance,main,
pru-pacs/pacs-g8t-encryptit,feature/GTDE-593,
pru-pacs/pacs-g8t-encryptit,feature/PACSCADS-2242,
pru-pacs/pacs-g8t-encryptit,feature/actions,
pru-pacs/pacs-g8t-encryptit,feature/autotrigger,
pru-pacs/pacs-g8t-encryptit,feature/ci-gh-workflow,
pru-pacs/pacs-g8t-encryptit,feature/control-hub,
pru-pacs/pacs-g8t-encryptit,feature/gh,
pru-pacs/pacs-g8t-encryptit,feature/gha,
pru-pacs/pacs-g8t-encryptit,feature/jira,
pru-pacs/pacs-g8t-encryptit,feature/sre,
pru-pacs/pacs-g8t-encryptit,feature/test,
pru-pacs/pacs-g8t-encryptit,feature/test,YES
pru-pacs/pacs-g8t-encryptit,release/test,
pru-pacs/pacs-g8t-encryptit,sre,
pru-pacs/pacs-g8t-encryptit-kops,feature/GTDE-239,
pru-pacs/pacs-g8t-encryptit-kops,feature/cd-gh-workflow,
pru-pacs/pacs-g8t-encryptit-kops,feature/gha,
pru-pacs/pacs-g8t-encryptit-kops,feature/test,
pru-pacs/pacs-g8t-encryptit-kops,master,YES
pru-pacs/pacs-g8t-encryptit-kops,sit,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/PACSSRE-6640,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/codespace,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/dev,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/java,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/nodejs,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/pacs-java-ci,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/pacs-java-ci2,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/pacs-nodejs,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/quickstart,
pru-pacs/pacs-g8t-pacsdevops_gha,feature/uat,
pru-pacs/pacs-g8t-pacsdevops_gha,main,YES
pru-pacs/pacs-cut-prushield_buddy_functions,bugfix/try-fix-aqua-scan,
pru-pacs/pacs-cut-prushield_buddy_functions,bugfix/try-polaris-scan,
pru-pacs/pacs-cut-prushield_buddy_functions,feature/code_fix4,
pru-pacs/pacs-cut-prushield_buddy_functions,feature/code_fix5,
pru-pacs/pacs-cut-prushield_buddy_functions,feature/fix-get_anb_from_bday,
pru-pacs/pacs-cut-prushield_buddy_functions,feature/test,
pru-pacs/pacs-cut-prushield_buddy_functions,main,
pru-pacs/pacs-cut-prushield_buddy_functions,release.uat,
pru-pacs/pacs-g8t-azuredevops-agent,master,YES
pru-pacs/pacs-g8t-alpine-java11-base-image-automation,master,YES
pru-pacs/pacs-g8t-alpine-java8-base-image-automation,PACSSRE-5736,
pru-pacs/pacs-g8t-alpine-java8-base-image-automation,feature/sre,
pru-pacs/pacs-g8t-alpine-java8-base-image-automation,fonttest,
pru-pacs/pacs-g8t-alpine-java8-base-image-automation,master,YES
pru-pacs/pacs-g8t-alpine-java8-base-image-automation,test,
pru-pacs/pacs-g8t-alpine-java17-base-image-automation,PACSSRE-5736,
pru-pacs/pacs-g8t-alpine-java17-base-image-automation,master,YES
pru-pacs/pacs-g8t-alpine-java17-base-image-automation,test,
pru-pacs/pacs-g8t-alpine-java21-base-image-automation,PACSSRE-5736,
pru-pacs/pacs-g8t-alpine-java21-base-image-automation,master,YES
pru-pacs/pacs-g8t-connectivity-check,main,YES
pru-pacs/pacs-g8t-connectivity-check,master,YES
pru-pacs/pacs-g8t-grafana-kops,master,YES
pru-pacs/pacs-g8t-grafana-kops,spn-test,
pru-pacs/pacs-g8t-grafana-kops,sre,
pru-pacs/pacs-g8t-k8s-sentry-ops,master,YES
pru-pacs/pacs-g8t-monitoring-platform,feature/nodeexporter,
pru-pacs/pacs-g8t-monitoring-platform,master,YES
pru-pacs/pacs-g8t-k8s-sentry,master,YES
pru-pacs/pacs-g8t-pacs-devops-collabhub,develop,
pru-pacs/pacs-g8t-pacs-devops-collabhub,master,YES
pru-pacs/pacs-g8t-pacs-devops-collabhub-ops,master,YES
pru-pacs/pacs-g8t-prometheus-kops,SRE,YES
pru-pacs/pacs-g8t-prometheus-kops,master,YES
