Repository,Branch,In-Scope(YES)
pru-phkl/pss-eta-github_governance,feature/GTDE-145-new,
pru-phkl/pss-eta-github_governance,feature/GTDE-145,
pru-phkl/pss-eta-github_governance,main,
pru-phkl/phkl-ysh-fraud-prediction-api,dev,
pru-phkl/phkl-ysh-fraud-prediction-api,master,
pru-phkl/phkl-ysh-ccmapi,develop,
pru-phkl/phkl-ysh-ccmapi,feature/phkl-dev-fix,
pru-phkl/phkl-ysh-ccmapi,feature/test_env_var,
pru-phkl/phkl-ysh-ccmapi,feature/test-001,
pru-phkl/phkl-ysh-ccmapi,main,
pru-phkl/phkl-ysh-ccmapi,phkl-dev,
pru-phkl/phkl-ysh-ccmapi,phkl-dev-test,
pru-phkl/phkl-ysh-ccmapi,phkl-prod,
pru-phkl/phkl-ysh-ccmapi,phkl-uat,
pru-phkl/phkl-ysh-ccmapi,uat,
pru-phkl/phkl-ysh-tomcat,agencyDashboard,
pru-phkl/phkl-ysh-tomcat,bugfix/Resolve_Nexus_Scanning_Issue,
pru-phkl/phkl-ysh-tomcat,bugfix/debug_uat,
pru-phkl/phkl-ysh-tomcat,bugfix/fix_report_search_input,
pru-phkl/phkl-ysh-tomcat,bugfix/handle_missing_params,
pru-phkl/phkl-ysh-tomcat,bugfix/scan_issue,
pru-phkl/phkl-ysh-tomcat,bugfix/session_cookie_fix,
pru-phkl/phkl-ysh-tomcat,dev,
pru-phkl/phkl-ysh-tomcat,feature/convert-to-maven,
pru-phkl/phkl-ysh-tomcat,feature/convert-to-maven-uat,
pru-phkl/phkl-ysh-tomcat,feature/pentestfix-2021,
pru-phkl/phkl-ysh-tomcat,feature/update_AA_report,
pru-phkl/phkl-ysh-tomcat,master,
pru-phkl/phkl-ysh-tomcat,release/digital_agent_usage_dashboard_test,
pru-phkl/phkl-ysh-tomcat,release/recuritment_dashboard_phase_2_test,
pru-phkl/phkl-ysh-tomcat,restore,
pru-phkl/phkl-ysh-tomcat,uat_old,
pru-phkl/phkl-ysh-tomcat,uat,
pru-phkl/phkl-ysh-deploy,dev,
pru-phkl/phkl-ysh-deploy,master,
pru-phkl/phkl-ysh-datastage,dev,
pru-phkl/phkl-ysh-datastage,prod,
pru-phkl/phkl-ysh-datastage,transfer-feature,
pru-phkl/phkl-ysh-datastage,uat,
pru-phkl/phkl-ysh-phkl-adb-udf,features/encrypt-decrypt-null,
pru-phkl/phkl-ysh-phkl-adb-udf,features/read-config-key,
pru-phkl/phkl-ysh-phkl-adb-udf,features/struct-prefix,
pru-phkl/phkl-ysh-phkl-adb-udf,master,
pru-phkl/phkl-ysh-prunews-poc-openai,WorkingFileWithKBQuest,
pru-phkl/phkl-ysh-prunews-poc-openai,feature/new-namespaces,
pru-phkl/phkl-ysh-prunews-poc-openai,master,
pru-phkl/phkl-7d4-pilgpt,bugfix/scan_issue_fix,
pru-phkl/phkl-7d4-pilgpt,dev,
pru-phkl/phkl-7d4-pilgpt,ex_dev_question_answering,
pru-phkl/phkl-7d4-pilgpt,experiment_dev_xiaomeng,
pru-phkl/phkl-7d4-pilgpt,featrue/experiment_eric_v2,
pru-phkl/phkl-7d4-pilgpt,feature/SleekFlowWebhookAPI_v1,
pru-phkl/phkl-7d4-pilgpt,feature/add_host_entry,
pru-phkl/phkl-7d4-pilgpt,feature/add_host_entry2,
pru-phkl/phkl-7d4-pilgpt,feature/add_inbound_policy,
pru-phkl/phkl-7d4-pilgpt,feature/add_prom_blocking,
