Repository,Branch,In-Scope(YES)
pru-ptpla/pss-eta-github_governance,feature/GTDE-145-new,
pru-ptpla/pss-eta-github_governance,feature/GTDE-145,
pru-ptpla/pss-eta-github_governance,main,
pru-ptpla/ptpla-97a-k8s-applications,UAT,
pru-ptpla/ptpla-97a-k8s-applications,add-custom-labels,
pru-ptpla/ptpla-97a-k8s-applications,add-missing-labels,
pru-ptpla/ptpla-97a-k8s-applications,add-volume-claim-template,
pru-ptpla/ptpla-97a-k8s-applications,feature/cronjob,
pru-ptpla/ptpla-97a-k8s-applications,feature/deployment-lifecycle,
pru-ptpla/ptpla-97a-k8s-applications,feature/enable-external-service,
pru-ptpla/ptpla-97a-k8s-applications,feature/readme,
pru-ptpla/ptpla-97a-k8s-applications,feature/uat-to-be-merged,
pru-ptpla/ptpla-97a-k8s-applications,master,
pru-ptpla/ptpla-97a-k8s-applications,paymenthub/kafka,
pru-ptpla/ptpla-97a-k8s-applications,paymenthub/kafka-connect-couchbase,
pru-ptpla/ptpla-97a-k8s-applications,paymenthub/ui-prupaylink,
pru-ptpla/ptpla-97a-k8s-applications,paymenthub/wrp-vts,
pru-ptpla/ptpla-97a-k8s-applications,ridho-consultant_prudentialco.id/cronjob.yaml-1698296713638,
pru-ptpla/ptpla-97a-k8s-applications,ridho-consultant_prudentialco.id/statefulset.yaml-1694147919409,
pru-ptpla/ptpla-97a-k8s-applications,ridhopangestu-consultant_prudential.co.id/statefulset.yaml-1707820203538,
pru-ptpla/ptpla-97a-devops-cloud-deployment,dev,
pru-ptpla/ptpla-97a-devops-cloud-deployment,master,
pru-ptpla/ptpla-97a-devops-monitoring-cron,master,
pru-ptpla/ptpla-97a-ptpla-apigee-deployer,dev,
pru-ptpla/ptpla-97a-ptpla-apigee-deployer,master,
pru-ptpla/ptpla-97a-ptpla-apigee-deployer,old-jenkins,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,feature/PTPLAPRJDEVOPS-1204,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,feature/PTPLAPRJDEVOPS-1218,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,feature/v3,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,feature/05122024,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,feature/08012025,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,feature/10122024,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,feature/23122024,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,master,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,test-pr-branch,
pru-ptpla/ptpla-97a-sms-mitracomm-dashboard,v2,
pru-ptpla/ptpla-97a-pf-cekatan,PTPLAPFSTB-613,
pru-ptpla/ptpla-97a-pf-cekatan,PTPLAPFSTB-1126-STG,
pru-ptpla/ptpla-97a-pf-cekatan,PTPLAPFSTB-1126,
pru-ptpla/ptpla-97a-pf-cekatan,ari-uat,
pru-ptpla/ptpla-97a-pf-cekatan,az1az2,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/Fix-cekatan-roy,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/PTPLAPFSTB-1415-UAT,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/PruFuture-Irfan,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/back-device,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/button-bottom,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/fix-resource,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/fix-warnings,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/form-ilp-audio-record,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/fullscreen_ios,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/isExistingClient,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/microsite-paydi,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/pembayaran,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/popup,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/reportScanning,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/resource-gke,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/securityscan,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/toogle-fullscreen,
pru-ptpla/ptpla-97a-pf-cekatan,bugfix/wording-pojk23,
pru-ptpla/ptpla-97a-pf-cekatan,cekatan_PH,
pru-ptpla/ptpla-97a-pf-cekatan,dev,
pru-ptpla/ptpla-97a-pf-cekatan,dev-backup-30nov2023,
pru-ptpla/ptpla-97a-pf-cekatan,dev-backup-11092023,
pru-ptpla/ptpla-97a-pf-cekatan,dso-f1,
pru-ptpla/ptpla-97a-pf-cekatan,dso-f2,
pru-ptpla/ptpla-97a-pf-cekatan,dso-n1,
pru-ptpla/ptpla-97a-pf-cekatan,dso-n2,
pru-ptpla/ptpla-97a-pf-cekatan,editjenkinsfile,
pru-ptpla/ptpla-97a-pf-cekatan,enhance-paydi-player,
pru-ptpla/ptpla-97a-pf-cekatan,enhance-prucinta,
pru-ptpla/ptpla-97a-pf-cekatan,erichsonignatius-consultant_prudential.co.id/Jenkinsfile-1702031679734,
pru-ptpla/ptpla-97a-pf-cekatan,feature/GTDE-273,
pru-ptpla/ptpla-97a-pf-cekatan,feature/PTPLAPFP-1136,
pru-ptpla/ptpla-97a-pf-cekatan,feature/PruFuture-auto,
pru-ptpla/ptpla-97a-pf-cekatan,feature/PruWellMedical,
pru-ptpla/ptpla-97a-pf-cekatan,feature/agent,
pru-ptpla/ptpla-97a-pf-cekatan,feature/amin-cekatan,
pru-ptpla/ptpla-97a-pf-cekatan,feature/amin-uat,
pru-ptpla/ptpla-97a-pf-cekatan,feature/az12,
pru-ptpla/ptpla-97a-pf-cekatan,feature/browser-detection,
pru-ptpla/ptpla-97a-pf-cekatan,feature/bugFix-Auto,
pru-ptpla/ptpla-97a-pf-cekatan,feature/core-config,
pru-ptpla/ptpla-97a-pf-cekatan,feature/deploy-08032024,
pru-ptpla/ptpla-97a-pf-cekatan,feature/deploy-22032024-auto,
pru-ptpla/ptpla-97a-pf-cekatan,feature/disclaimer-doksul-id,
pru-ptpla/ptpla-97a-pf-cekatan,feature/docsul,
pru-ptpla/ptpla-97a-pf-cekatan,feature/doksul-amandemen,
pru-ptpla/ptpla-97a-pf-cekatan,feature/doksul-dokumen-pendukung,
pru-ptpla/ptpla-97a-pf-cekatan,feature/doksul-form-lampung,
pru-ptpla/ptpla-97a-pf-cekatan,feature/doksul-sqs,
pru-ptpla/ptpla-97a-pf-cekatan,feature/doksulAudioRecord,
pru-ptpla/ptpla-97a-pf-cekatan,feature/doksulAudioRecording,
pru-ptpla/ptpla-97a-pf-cekatan,feature/ekyc-amin,
pru-ptpla/ptpla-97a-pf-cekatan,feature/enableSec,
pru-ptpla/ptpla-97a-pf-cekatan,feature/finding-fix,
pru-ptpla/ptpla-97a-pf-cekatan,feature/finding-fix-jeri,
pru-ptpla/ptpla-97a-pf-cekatan,feature/fix-ilp,
pru-ptpla/ptpla-97a-pf-cekatan,feature/fix-login-screen,
pru-ptpla/ptpla-97a-pf-cekatan,feature/fixing-submit,
pru-ptpla/ptpla-97a-pf-cekatan,feature/form-ilp,
pru-ptpla/ptpla-97a-pf-cekatan,feature/ilp-2,
pru-ptpla/ptpla-97a-pf-cekatan,feature/ilp-pia,
pru-ptpla/ptpla-97a-pf-cekatan,feature/merg-ilp,
pru-ptpla/ptpla-97a-pf-cekatan,feature/nb,
pru-ptpla/ptpla-97a-pf-cekatan,feature/node,
pru-ptpla/ptpla-97a-pf-cekatan,feature/pas-amin,
pru-ptpla/ptpla-97a-pf-cekatan,feature/pas-uat,
pru-ptpla/ptpla-97a-pf-cekatan,feature/paydi-question,
pru-ptpla/ptpla-97a-pf-cekatan,feature/paydiAutoP,
pru-ptpla/ptpla-97a-pf-cekatan,feature/payment,
pru-ptpla/ptpla-97a-pf-cekatan,feature/payment-auto,
pru-ptpla/ptpla-97a-pf-cekatan,feature/payment-prucintasejati,
pru-ptpla/ptpla-97a-pf-cekatan,feature/payment-sharia,
pru-ptpla/ptpla-97a-pf-cekatan,feature/pia_revamp,
pru-ptpla/ptpla-97a-pf-cekatan,feature/pojk6-8,
pru-ptpla/ptpla-97a-pf-cekatan,feature/pojk6-Auto,
pru-ptpla/ptpla-97a-pf-cekatan,feature/pojk6-Auto-temp,
pru-ptpla/ptpla-97a-pf-cekatan,feature/polaris,
pru-ptpla/ptpla-97a-pf-cekatan,feature/prufast,
pru-ptpla/ptpla-97a-pf-cekatan,feature/psks-uat,
pru-ptpla/ptpla-97a-pf-cekatan,feature/pss-pro,
pru-ptpla/ptpla-97a-pf-cekatan,feature/reminder,
pru-ptpla/ptpla-97a-pf-cekatan,feature/retry-submit,
pru-ptpla/ptpla-97a-pf-cekatan,feature/risk-profile,
pru-ptpla/ptpla-97a-pf-cekatan,feature/sharia-uat,
pru-ptpla/ptpla-97a-pf-cekatan,feature/stability/area-checker,
pru-ptpla/ptpla-97a-pf-cekatan,feature/status-online-offline,
pru-ptpla/ptpla-97a-pf-cekatan,feature/stg/video-player,
pru-ptpla/ptpla-97a-pf-cekatan,feature/stg-nb-irfan/video-player,
pru-ptpla/ptpla-97a-pf-cekatan,feature/t0-nb,
pru-ptpla/ptpla-97a-pf-cekatan,feature/temp-ilp,
pru-ptpla/ptpla-97a-pf-cekatan,feature/tnc_pruAnugerah,
pru-ptpla/ptpla-97a-pf-cekatan,feature/tnc,
pru-ptpla/ptpla-97a-pf-cekatan,feature/uat-sharia,
pru-ptpla/ptpla-97a-pf-cekatan,feature/update-19052024,
pru-ptpla/ptpla-97a-pf-cekatan,feature/video-and-loginrevamp,
pru-ptpla/ptpla-97a-pf-cekatan,feature/video-player,
pru-ptpla/ptpla-97a-pf-cekatan,feature/18082023-Pruanugrah,
pru-ptpla/ptpla-97a-pf-cekatan,fix-configuration,
pru-ptpla/ptpla-97a-pf-cekatan,fixing-jenkinsfile,
pru-ptpla/ptpla-97a-pf-cekatan,fortify,
pru-ptpla/ptpla-97a-pf-cekatan,master,
pru-ptpla/ptpla-97a-pf-cekatan,master-PTPLAPFSTB-613,
pru-ptpla/ptpla-97a-pf-cekatan,nandapradnyana_prudential.co.id/Dockerfile-1677568507928,
pru-ptpla/ptpla-97a-pf-cekatan,nandapradnyana_prudential.co.id/Jenkinsfile-1693567620422,
