Repository,Branch,In-Scope(YES)
pru-pva/pss-eta-github_governance,feature/GTDE-145-new,
pru-pva/pss-eta-github_governance,feature/GTDE-145,
pru-pva/pss-eta-github_governance,main,
pru-pva/pva-x8s-configuration,PROD,
pru-pva/pva-x8s-configuration,master,
pru-pva/pva-x8s-pruquote,2023/hotfix/ulr6-annual-tp,
pru-pva/pva-x8s-pruquote,UAT,yes
pru-pva/pva-x8s-pruquote,backup/UAT-202312,
pru-pva/pva-x8s-pruquote,bsr/CIS1-minor-change,
pru-pva/pva-x8s-pruquote,bsr/CIS1-wording,
pru-pva/pva-x8s-pruquote,bsr/CIS1,
pru-pva/pva-x8s-pruquote,bsr/CIS-promotion,
pru-pva/pva-x8s-pruquote,bsr/HCR-discount,
pru-pva/pva-x8s-pruquote,bsr/RB-rate-2022,
pru-pva/pva-x8s-pruquote,bsr/addHSR4toU6,
pru-pva/pva-x8s-pruquote,bsr/agent_leader,
pru-pva/pva-x8s-pruquote,bsr/agent-cert,
pru-pva/pva-x8s-pruquote,bsr/aml-2021,
pru-pva/pva-x8s-pruquote,bsr/annual_training_2022,
pru-pva/pva-x8s-pruquote,bsr/api-dc2021,
pru-pva/pva-x8s-pruquote,bsr/auto_lock_pruquote,
pru-pva/pva-x8s-pruquote,bsr/bank-promo-enhance,
pru-pva/pva-x8s-pruquote,bsr/cna-pq,
pru-pva/pva-x8s-pruquote,bsr/customer-promotion,
pru-pva/pva-x8s-pruquote,bsr/dummy-agent-pd,
pru-pva/pva-x8s-pruquote,bsr/epolicy-kit,
pru-pva/pva-x8s-pruquote,bsr/estimate-premterm,
pru-pva/pva-x8s-pruquote,bsr/fna-min-basic-v2,
pru-pva/pva-x8s-pruquote,bsr/frequency-ilphs400,
pru-pva/pva-x8s-pruquote,bsr/lock_pruquote_job,
pru-pva/pva-x8s-pruquote,bsr/lock-pruquote,
pru-pva/pva-x8s-pruquote,bsr/magnum-enhance,
pru-pva/pva-x8s-pruquote,bsr/min-sa-ulvl-PD,
pru-pva/pva-x8s-pruquote,bsr/min-satp-ulvl,
pru-pva/pva-x8s-pruquote,bsr/require-fna-scb-fsc,
pru-pva/pva-x8s-pruquote,bsr/search-la-name,
pru-pva/pva-x8s-pruquote,bsr/sofi-pruventure,
pru-pva/pva-x8s-pruquote,bsr/tla3-sio-package,
