Repository,Branch,In-Scope(YES)
pru-ifrs17/ifrs17-72s-adf_test_a_z,master,
pru-ifrs17/ifrs17-72s-adf_test_a_z,release,
pru-ifrs17/ifrs17-72s-adf_test_a_z,test,
pru-ifrs17/ifrs17-72s-adf-ssis-package-dev,develop,
pru-ifrs17/ifrs17-72s-adf-ssis-package-dev,master,
pru-ifrs17/ifrs17-72s-atlassian-user-management,master,
pru-ifrs17/ifrs17-72s-bdd-poc,master,
pru-ifrs17/ifrs17-72s-controlm-phkl,feature/PCAIFRS17-12800-spike-jira-workflow-automation-verification,
pru-ifrs17/ifrs17-72s-controlm-phkl,master,
pru-ifrs17/ifrs17-72s-environment-donkeysurf-production,master,
pru-ifrs17/ifrs17-72s-environment-iguanaforest-production,master,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,88q0bh_ADF,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,88q0bh_adf,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,01082021PH,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,01082021THD,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,4082021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,12052021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,12062021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,18082020,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,20072021-3,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,20072021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,25022021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,27072021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,31032020,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,AcceleratedNetwork,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,BlueMedoraMonitoring,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,CMDEVSPN2_18_2022,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,CMSPN2-18_02_2022,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,Cognitive-key,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,DWH_Pause,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,HKPRHOSPN,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,HKPRHOSPND,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,JWT_SCB_DEV,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,Kafka-couchbase-SPN,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,Karthik-prod-appref,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,Orphan-Disk-removal,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PAMBDEVSPN24_1_2022,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PAMBUATSPN24_1_2022,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PBTB-SPN-request,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PCAWealth-Dev-SPN,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PCAWealthSPN1,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PLT04082021,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PLTDLPRD,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PLTDLUAT,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PLTPRODSPN,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PLTUAT0821,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PLTUATDATALAKE,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PLUKP0821,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PVA_IFRS17_SPN,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PVADL-001-b80ux6-generate-spn-dbk-azurestorage,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PVAP0821,
pru-ifrs17/ifrs17-72s-hashicorp-vault-appref-definition,PVN04082021,
